DATE,CLOSE,X0,X1,X2,X3,X4,X5,,
42233,4566.37,4573.113,4513.992,4528.189,4519.316,4530.739,4566.37,,
42234,4542.07,4513.992,4528.189,4519.316,4530.739,4566.37,4542.07,,
42235,4510.899,4528.189,4519.316,4530.739,4566.37,4542.07,4510.899,,
42236,4385.126,4519.316,4530.739,4566.37,4542.07,4510.899,4385.126,,
42237,4197.271,4530.739,4566.37,4542.07,4510.899,4385.126,4197.271,,
42240,4038.602,4566.37,4542.07,4510.899,4385.126,4197.271,4038.602,,
42241,4016.324,4542.07,4510.899,4385.126,4197.271,4038.602,4016.324,,
42242,4219.6,4510.899,4385.126,4197.271,4038.602,4016.324,4219.6,,
42243,4324.821,4385.126,4197.271,4038.602,4016.324,4219.6,4324.821,,
42244,4329.121,4197.271,4038.602,4016.324,4219.6,4324.821,4329.121,,
42247,4274.584,4038.602,4016.324,4219.6,4324.821,4329.121,4274.584,,
42248,4142.634,4016.324,4219.6,4324.821,4329.121,4274.584,4142.634,,
42249,4256.23,4219.6,4324.821,4329.121,4274.584,4142.634,4256.23,,
42250,4234.654,4324.821,4329.121,4274.584,4142.634,4256.23,4234.654,,
42251,4184.721,4329.121,4274.584,4142.634,4256.23,4234.654,4184.721,,
42255,4303.526,4274.584,4142.634,4256.23,4234.654,4184.721,4303.526,,
42256,4253.448,4142.634,4256.23,4234.654,4184.721,4303.526,4253.448,,
42257,4296.298,4256.23,4234.654,4184.721,4303.526,4253.448,4296.298,,
42258,4323.23,4234.654,4184.721,4303.526,4253.448,4296.298,4323.23,,
42261,4308.76,4184.721,4303.526,4253.448,4296.298,4323.23,4308.76,,
42262,4360.28,4303.526,4253.448,4296.298,4323.23,4308.76,4360.28,,
42263,4383.67,4253.448,4296.298,4323.23,4308.76,4360.28,4383.67,,
42264,4384.961,4296.298,4323.23,4308.76,4360.28,4383.67,4384.961,,
42265,4323.858,4323.23,4308.76,4360.28,4383.67,4384.961,4323.858,,
42268,4336.13,4308.76,4360.28,4383.67,4384.961,4323.858,4336.13,,
42269,4274.098,4360.28,4383.67,4384.961,4323.858,4336.13,4274.098,,
42270,4273.531,4383.67,4384.961,4323.858,4336.13,4274.098,4273.531,,
42271,4261.104,4384.961,4323.858,4336.13,4274.098,4273.531,4261.104,,
42272,4224.74,4323.858,4336.13,4274.098,4273.531,4261.104,4224.74,,
42275,4103.47,4336.13,4274.098,4273.531,4261.104,4224.74,4103.47,,
42276,4083.372,4274.098,4273.531,4261.104,4224.74,4103.47,4083.372,,
42277,4181.06,4273.531,4261.104,4224.74,4103.47,4083.372,4181.06,,
42278,4192.963,4261.104,4224.74,4103.47,4083.372,4181.06,4192.963,,
42279,4267.45,4224.74,4103.47,4083.372,4181.06,4192.963,4267.45,,
42282,4331.432,4103.47,4083.372,4181.06,4192.963,4267.45,4331.432,,
42283,4306.7,4083.372,4181.06,4192.963,4267.45,4331.432,4306.7,,
42284,4333.464,4181.06,4192.963,4267.45,4331.432,4306.7,4333.464,,
42285,4350.149,4192.963,4267.45,4331.432,4306.7,4333.464,4350.149,,
42286,4370.009,4267.45,4331.432,4306.7,4333.464,4350.149,4370.009,,
42289,4382.563,4331.432,4306.7,4333.464,4350.149,4370.009,4382.563,,
42290,4352.938,4306.7,4333.464,4350.149,4370.009,4382.563,4352.938,,
42291,4346.922,4333.464,4350.149,4370.009,4382.563,4352.938,4346.922,,
42292,4418.221,4350.149,4370.009,4382.563,4352.938,4346.922,4418.221,,
42293,4438.622,4370.009,4382.563,4352.938,4346.922,4418.221,4438.622,,
42296,4462.066,4382.563,4352.938,4346.922,4418.221,4438.622,4462.066,,
42297,4438.181,4352.938,4346.922,4418.221,4438.622,4462.066,4438.181,,
42298,4413.524,4346.922,4418.221,4438.622,4462.066,4438.181,4413.524,,
42299,4503.216,4418.221,4438.622,4462.066,4438.181,4413.524,4503.216,,
42300,4624.09,4438.622,4462.066,4438.181,4413.524,4503.216,4624.09,,
42303,4630.846,4462.066,4438.181,4413.524,4503.216,4624.09,4630.846,,
42304,4639.233,4438.181,4413.524,4503.216,4624.09,4630.846,4639.233,,
42305,4678.575,4413.524,4503.216,4624.09,4630.846,4639.233,4678.575,,
42306,4670.765,4503.216,4624.09,4630.846,4639.233,4678.575,4670.765,,
42307,4648.831,4624.09,4630.846,4639.233,4678.575,4670.765,4648.831,,
42310,4703.915,4630.846,4639.233,4678.575,4670.765,4648.831,4703.915,,
42311,4719.053,4639.233,4678.575,4670.765,4648.831,4703.915,4719.053,,
42312,4717.553,4678.575,4670.765,4648.831,4703.915,4719.053,4717.553,,
42313,4702.896,4670.765,4648.831,4703.915,4719.053,4717.553,4702.896,,
42314,4707.231,4648.831,4703.915,4719.053,4717.553,4702.896,4707.231,,
42317,4655.515,4703.915,4719.053,4717.553,4702.896,4707.231,4655.515,,
42318,4641.729,4719.053,4717.553,4702.896,4707.231,4655.515,4641.729,,
42319,4636.937,4717.553,4702.896,4707.231,4655.515,4641.729,4636.937,,
42320,4588.931,4702.896,4707.231,4655.515,4641.729,4636.937,4588.931,,
42321,4502.137,4707.231,4655.515,4641.729,4636.937,4588.931,4502.137,,
42324,4565.468,4655.515,4641.729,4636.937,4588.931,4502.137,4565.468,,
42325,4565.817,4641.729,4636.937,4588.931,4502.137,4565.468,4565.817,,
42326,4653.444,4636.937,4588.931,4502.137,4565.468,4565.817,4653.444,,
42327,4655.355,4588.931,4502.137,4565.468,4565.817,4653.444,4655.355,,
42328,4686.358,4502.137,4565.468,4565.817,4653.444,4655.355,4686.358,,
42331,4674.793,4565.468,4565.817,4653.444,4655.355,4686.358,4674.793,,
42332,4669.409,4565.817,4653.444,4655.355,4686.358,4674.793,4669.409,,
42333,4672.884,4653.444,4655.355,4686.358,4674.793,4669.409,4672.884,,
42335,4680.465,4655.355,4686.358,4674.793,4669.409,4672.884,4680.465,,
42338,4664.51,4686.358,4674.793,4669.409,4672.884,4680.465,4664.51,,
42339,4716.158,4674.793,4669.409,4672.884,4680.465,4664.51,4716.158,,
42340,4686.223,4669.409,4672.884,4680.465,4664.51,4716.158,4686.223,,
42341,4606.755,4672.884,4680.465,4664.51,4716.158,4686.223,4606.755,,
42342,4716.12,4680.465,4664.51,4716.158,4686.223,4606.755,4716.12,,
42345,4693.621,4664.51,4716.158,4686.223,4606.755,4716.12,4693.621,,
42346,4694.767,4716.158,4686.223,4606.755,4716.12,4693.621,4694.767,,
42347,4622.138,4686.223,4606.755,4716.12,4693.621,4694.767,4622.138,,
42348,4643.048,4606.755,4716.12,4693.621,4694.767,4622.138,4643.048,,
42349,4537.563,4716.12,4693.621,4694.767,4622.138,4643.048,4537.563,,
42352,4570.157,4693.621,4694.767,4622.138,4643.048,4537.563,4570.157,,
42353,4597.327,4694.767,4622.138,4643.048,4537.563,4570.157,4597.327,,
42354,4664.564,4622.138,4643.048,4537.563,4570.157,4597.327,4664.564,,
42355,4598.138,4643.048,4537.563,4570.157,4597.327,4664.564,4598.138,,
42356,4514.825,4537.563,4570.157,4597.327,4664.564,4598.138,4514.825,,
42359,4560.552,4570.157,4597.327,4664.564,4598.138,4514.825,4560.552,,
42360,4589.256,4597.327,4664.564,4598.138,4514.825,4560.552,4589.256,,
42361,4624.587,4664.564,4598.138,4514.825,4560.552,4589.256,4624.587,,
42362,4622.772,4598.138,4514.825,4560.552,4589.256,4624.587,4622.772,,
42366,4621.35,4514.825,4560.552,4589.256,4624.587,4622.772,4621.35,,
42367,4691.077,4560.552,4589.256,4624.587,4622.772,4621.35,4691.077,,
42368,4652.008,4589.256,4624.587,4622.772,4621.35,4691.077,4652.008,,
42369,4593.271,4624.587,4622.772,4621.35,4691.077,4652.008,4593.271,,
42373,4497.857,4622.772,4621.35,4691.077,4652.008,4593.271,4497.857,,
42374,4484.18,4621.35,4691.077,4652.008,4593.271,4497.857,4484.18,,
42375,4443.985,4691.077,4652.008,4593.271,4497.857,4484.18,4443.985,,
42376,4305.725,4652.008,4593.271,4497.857,4484.18,4443.985,4305.725,,
42377,4270.782,4593.271,4497.857,4484.18,4443.985,4305.725,4270.782,,
42380,4283.547,4497.857,4484.18,4443.985,4305.725,4270.782,4283.547,,
42381,4333.717,4484.18,4443.985,4305.725,4270.782,4283.547,4333.717,,
42382,4183.116,4443.985,4305.725,4270.782,4283.547,4333.717,4183.116,,
42383,4272.967,4305.725,4270.782,4283.547,4333.717,4183.116,4272.967,,
42384,4141.082,4270.782,4283.547,4333.717,4183.116,4272.967,4141.082,,
42388,4147.075,4283.547,4333.717,4183.116,4272.967,4141.082,4147.075,,
42389,4136.281,4333.717,4183.116,4272.967,4141.082,4147.075,4136.281,,
42390,4142.599,4183.116,4272.967,4141.082,4147.075,4136.281,4142.599,,
42391,4259.773,4272.967,4141.082,4147.075,4136.281,4142.599,4259.773,,
42394,4196.532,4141.082,4147.075,4136.281,4142.599,4259.773,4196.532,,
42395,4233.85,4147.075,4136.281,4142.599,4259.773,4196.532,4233.85,,
42396,4128.861,4136.281,4142.599,4259.773,4196.532,4233.85,4128.861,,
42397,4186.061,4142.599,4259.773,4196.532,4233.85,4128.861,4186.061,,
42398,4279.169,4259.773,4196.532,4233.85,4128.861,4186.061,4279.169,,
42401,4286.556,4196.532,4233.85,4128.861,4186.061,4279.169,4286.556,,
42402,4193.101,4233.85,4128.861,4186.061,4279.169,4286.556,4193.101,,
42403,4171.968,4128.861,4186.061,4279.169,4286.556,4193.101,4171.968,,
42404,4167.771,4186.061,4279.169,4286.556,4193.101,4171.968,4167.771,,
42405,4024.473,4279.169,4286.556,4193.101,4171.968,4167.771,4024.473,,
42408,3960.671,4286.556,4193.101,4171.968,4167.771,4024.473,3960.671,,
42409,3947.804,4193.101,4171.968,4167.771,4024.473,3960.671,3947.804,,
42410,3966.275,4171.968,4167.771,4024.473,3960.671,3947.804,3966.275,,
42411,3962.224,4167.771,4024.473,3960.671,3947.804,3966.275,3962.224,,
42412,4019.191,4024.473,3960.671,3947.804,3966.275,3962.224,4019.191,,
42416,4104.331,3960.671,3947.804,3966.275,3962.224,4019.191,4104.331,,
42417,4199.103,3947.804,3966.275,3962.224,4019.191,4104.331,4199.103,,
42418,4151.492,3966.275,3962.224,4019.191,4104.331,4199.103,4151.492,,
42419,4164.088,3962.224,4019.191,4104.331,4199.103,4151.492,4164.088,,
42422,4231.268,4019.191,4104.331,4199.103,4151.492,4164.088,4231.268,,
42423,4162.54,4104.331,4199.103,4151.492,4164.088,4231.268,4162.54,,
42424,4200.659,4199.103,4151.492,4164.088,4231.268,4162.54,4200.659,,
42425,4241.059,4151.492,4164.088,4231.268,4162.54,4200.659,4241.059,,
42426,4235.616,4164.088,4231.268,4162.54,4200.659,4241.059,4235.616,,
42429,4201.118,4231.268,4162.54,4200.659,4241.059,4235.616,4201.118,,
42430,4333.614,4162.54,4200.659,4241.059,4235.616,4201.118,4333.614,,
42431,4334.386,4200.659,4241.059,4235.616,4201.118,4333.614,4334.386,,
42432,4325.862,4241.059,4235.616,4201.118,4333.614,4334.386,4325.862,,
42433,4329,4235.616,4201.118,4333.614,4334.386,4325.862,4329,,
42436,4303.333,4201.118,4333.614,4334.386,4325.862,4329,4303.333,,
42437,4265.51,4333.614,4334.386,4325.862,4329,4303.333,4265.51,,
42438,4293.232,4334.386,4325.862,4329,4303.333,4265.51,4293.232,,
42439,4286.966,4325.862,4329,4303.333,4265.51,4293.232,4286.966,,
42440,4361.83,4329,4303.333,4265.51,4293.232,4286.966,4361.83,,
42443,4367.329,4303.333,4265.51,4293.232,4286.966,4361.83,4367.329,,
42444,4367.082,4265.51,4293.232,4286.966,4361.83,4367.329,4367.082,,
42445,4404.202,4293.232,4286.966,4361.83,4367.329,4367.082,4404.202,,
42446,4400.263,4286.966,4361.83,4367.329,4367.082,4404.202,4400.263,,
42447,4410.828,4361.83,4367.329,4367.082,4404.202,4400.263,4410.828,,
42450,4426.977,4367.329,4367.082,4404.202,4400.263,4410.828,4426.977,,
42451,4437.619,4367.082,4404.202,4400.263,4410.828,4426.977,4437.619,,
42452,4402.559,4404.202,4400.263,4410.828,4426.977,4437.619,4402.559,,
42453,4405.532,4400.263,4410.828,4426.977,4437.619,4402.559,4405.532,,
42457,4398.065,4410.828,4426.977,4437.619,4402.559,4405.532,4398.065,,
42458,4467.719,4426.977,4437.619,4402.559,4405.532,4398.065,4467.719,,
42459,4490.875,4437.619,4402.559,4405.532,4398.065,4467.719,4490.875,,
42460,4483.655,4402.559,4405.532,4398.065,4467.719,4490.875,4483.655,,
42461,4532.082,4405.532,4398.065,4467.719,4490.875,4483.655,4532.082,,
42464,4511.704,4398.065,4467.719,4490.875,4483.655,4532.082,4511.704,,
42465,4470.748,4467.719,4490.875,4483.655,4532.082,4511.704,4470.748,,
42466,4543.781,4490.875,4483.655,4532.082,4511.704,4470.748,4543.781,,
42467,4475.286,4483.655,4532.082,4511.704,4470.748,4543.781,4475.286,,
42468,4474.925,4532.082,4511.704,4470.748,4543.781,4475.286,4474.925,,
42471,4458.706,4511.704,4470.748,4543.781,4475.286,4474.925,4458.706,,
42472,4496.044,4470.748,4543.781,4475.286,4474.925,4458.706,4496.044,,
42473,4554.722,4543.781,4475.286,4474.925,4458.706,4496.044,4554.722,,
42474,4554.625,4475.286,4474.925,4458.706,4496.044,4554.722,4554.625,,
42475,4543.161,4474.925,4458.706,4496.044,4554.722,4554.625,4543.161,,
42478,4565.421,4458.706,4496.044,4554.722,4554.625,4543.161,4565.421,,
42479,4537.09,4496.044,4554.722,4554.625,4543.161,4565.421,4537.09,,
42480,4540.438,4554.722,4554.625,4543.161,4565.421,4537.09,4540.438,,
42481,4540.798,4554.625,4543.161,4565.421,4537.09,4540.438,4540.798,,
42482,4474.192,4543.161,4565.421,4537.09,4540.438,4540.798,4474.192,,
42485,4474.131,4565.421,4537.09,4540.438,4540.798,4474.192,4474.131,,
42486,4452.966,4537.09,4540.438,4540.798,4474.192,4474.131,4452.966,,
42487,4416.635,4540.438,4540.798,4474.192,4474.131,4452.966,4416.635,,
42488,4363.993,4540.798,4474.192,4474.131,4452.966,4416.635,4363.993,,
42489,4341.299,4474.192,4474.131,4452.966,4416.635,4363.993,4341.299,,
42492,4381.304,4474.131,4452.966,4416.635,4363.993,4341.299,4381.304,,
42493,4341.392,4452.966,4416.635,4363.993,4341.299,4381.304,4341.392,,
42494,4312.014,4416.635,4363.993,4341.299,4381.304,4341.392,4312.014,,
